Index,Critical Regions,Scenario Name,Theta 1,Theta 2,Theta 3,Theta 4,Obj,"X (P1,1)","X (P1,2)","X (P1,3)","X (P1,4)",Updated Obj,"Y_up(WC1,1)","Y_up(WC1,2)","Y_up(WC1,3)","Y_up(WC1,4)","Y_up(WC2,1)","Y_up(WC2,2)","Y_up(WC2,3)","Y_up(WC2,4)","Y_up(WC3,1)","Y_up(WC3,2)","Y_up(WC3,3)","Y_up(WC3,4)","X_up(P1,1)","X_up(P1,2)","X_up(P1,3)","X_up(P1,4)",Plan
0,CR 1,Sc1,64.0,80.0,72.0,64.0,7628.00,64.00,60.00,72.00,84.00,7533.999999999998,2.0,2.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,64.0,85.99999999999955,50.0,80.00000000000045,Plan A
6,CR 2,Sc2,64.0,80.0,72.0,80.0,7948.00,64.00,60.00,72.00,100.00,7893.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,82.0,50.0,100.0,Plan B
7,CR 2,Sc3,64.0,80.0,72.0,96.0,8305.00,64.00,60.00,88.00,100.00,8277.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,98.0,50.0,100.0,Plan B
1,CR 1,Sc4,64.0,80.0,90.0,64.0,7993.00,64.00,60.00,90.00,84.00,7966.0,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,64.0,60.0,94.0,80.0,Plan C
8,CR 2,Sc5,64.0,80.0,90.0,80.0,8313.00,64.00,60.00,90.00,100.00,8289.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,100.0,50.0,100.0,Plan B
9,CR 2,Sc6,64.0,80.0,90.0,96.0,8675.00,64.00,60.00,106.00,100.00,8675.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,60.00,106.00,100.00,Plan E
2,CR 1,Sc7,64.0,80.0,108.0,64.0,8363.00,64.00,60.00,108.00,84.00,8349.999999999998,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,64.0,71.99999999999957,100.00000000000004,80.00000000000038,Plan C
10,CR 2,Sc8,64.0,80.0,108.0,80.0,8683.00,64.00,60.00,108.00,100.00,8683.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,60.00,108.00,100.00,Plan E
11,CR 2,Sc9,64.0,80.0,108.0,96.0,9035.00,64.00,60.00,124.00,100.00,9035.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,60.00,124.00,100.00,Plan E
69,CR 3,Sc10,64.0,100.0,72.0,64.0,8028.00,64.00,80.00,72.00,84.00,7990.999999999996,2.0,2.0,2.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,64.0,85.99999999999872,100.00000000000043,50.00000000000085,Plan D
12,CR 2,Sc11,64.0,100.0,72.0,80.0,8348.00,64.00,80.00,72.00,100.00,8348.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,80.00,72.00,100.00,Plan E
13,CR 2,Sc12,64.0,100.0,72.0,96.0,8705.00,64.00,80.00,88.00,100.00,8705.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,80.00,88.00,100.00,Plan E
70,CR 3,Sc13,64.0,100.0,90.0,64.0,8393.00,64.00,80.00,90.00,84.00,8365.999999999996,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,64.0,80.0,93.99999999999872,80.00000000000128,Plan C
14,CR 2,Sc14,64.0,100.0,90.0,80.0,8713.00,64.00,80.00,90.00,100.00,8713.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,80.00,90.00,100.00,Plan E
15,CR 2,Sc15,64.0,100.0,90.0,96.0,9075.00,64.00,80.00,106.00,100.00,9075.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,80.00,106.00,100.00,Plan E
71,CR 3,Sc16,64.0,100.0,108.0,64.0,8763.00,64.00,80.00,108.00,84.00,8750.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,64.0,91.99999999999983,100.0,80.00000000000016,Plan C
16,CR 2,Sc17,64.0,100.0,108.0,80.0,9083.00,64.00,80.00,108.00,100.00,9083.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,80.00,108.00,100.00,Plan E
17,CR 2,Sc18,64.0,100.0,108.0,96.0,9435.00,64.00,80.00,124.00,100.00,9435.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,80.00,124.00,100.00,Plan E
18,CR 2,Sc19,64.0,120.0,72.0,64.0,8433.00,64.00,100.00,72.00,84.00,8406.0,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,64.0,100.0,75.99999999999952,80.00000000000048,Plan C
19,CR 2,Sc20,64.0,120.0,72.0,80.0,8753.00,64.00,100.00,72.00,100.00,8753.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,72.00,100.00,Plan E
20,CR 2,Sc21,64.0,120.0,72.0,96.0,9110.00,64.00,100.00,88.00,100.00,9110.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,88.00,100.00,Plan E
21,CR 2,Sc22,64.0,120.0,90.0,64.0,8798.00,64.00,100.00,90.00,84.00,8766.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,100.0,94.0,80.0,Plan C
22,CR 2,Sc23,64.0,120.0,90.0,80.0,9118.00,64.00,100.00,90.00,100.00,9118.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,90.00,100.00,Plan E
23,CR 2,Sc24,64.0,120.0,90.0,96.0,9480.00,64.00,100.00,106.00,100.00,9480.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,106.00,100.00,Plan E
24,CR 2,Sc25,64.0,120.0,108.0,64.0,9168.00,64.00,100.00,108.00,84.00,9168.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,108.00,84.00,Plan E
25,CR 2,Sc26,64.0,120.0,108.0,80.0,9488.00,64.00,100.00,108.00,100.00,9488.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,108.00,100.00,Plan E
26,CR 2,Sc27,64.0,120.0,108.0,96.0,9840.00,64.00,100.00,124.00,100.00,9840.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,124.00,100.00,Plan E
72,CR 3,Sc28,80.0,80.0,72.0,64.0,7948.00,80.00,60.00,72.00,84.00,7853.999999999998,2.0,2.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,85.99999999999955,50.0,80.00000000000045,Plan A
